,date,screen_name,tweet,tweet_id
0,2020-11-01 03:31:39,chart_ai,$AAPL  Apple Inc Stock Robo Analyst October 26 2020 #AAPL https://t.co/tKGURs0edn #stocks #trading #charts,1.3227430776901714e+18
1,2020-11-01 15:53:09,DavidNolder,"@jzicc86_jacob Goal 1- another $1k into savings 
Goal 2- $300 in #T, $300 in #AAPL, and $400 in other stocks so I have more diversity 
#Goal 3 - finish the book @richdadpoordad3",1.322929681386115e+18
2,2020-11-01 12:37:45,ElliottForecast,https://t.co/VI2lxteqV2 Join  us with 2 Months for Price of 1 Elections promotion to be able to trade the Indices going into the event. Click here: https://t.co/h4XIr3p4Vl  #Elliottwave #Dow #SPX #Nasdaq #Indices #Russell #Trading #Nikkei #Nifty #AMZN #AAPL #GOOGL,1.3228805085529907e+18
3,2020-11-01 21:04:06,topstonks,"$AAPL one of the most mentioned on /r/wallstreetbets over the last 12 hours

Via https://t.co/DoXFBxbWjw

#aapl    #wallstreetbets",1.323007935421829e+18
4,2020-11-01 20:13:14,InvestorSeattle,"Staying short in the short term and holding VXX calls through the new year , adding to current calendar leaps when they enter my buy zone.
Also adding shares  to my long term port positions when they hit my buy Zone #TSLA #AAPL #AMZN #NIO #ARKK

Opportunities everywhere!",1.3229951324974244e+18
5,2020-11-01 14:22:47,spayk32,APPLE - gráfico #AAPL https://t.co/PhNHmNQvDN,1.3229069384981668e+18
6,2020-11-01 03:17:01,elliottwaves,"We are offering Two Months for the Price of one before the US General Election, Join us and be able to trade the Indices before the event. https://t.co/H68XfjgaBo #Elliottwave #Trading #Elections2020 #USElection2020 #YM_F #ES_F #NQ_F #SPY #AAPL #TSLA ##BTC #EURUSD #USDX #USDJPY https://t.co/n6ysC8OQEC https://t.co/w80yhayBDx",1.3227393947684413e+18
7,2020-11-01 15:19:27,Alexand40973876,$AAPL #AAPL https://t.co/9xZHkp1vrb,1.3229212000755507e+18
8,2020-11-01 01:50:00,es_tradingview,#AAPL - El CCL de los Cedears - TradingView - https://t.co/NtmEIOdfbF,1.3227174967349658e+18
9,2020-11-01 19:00:34,MommyTrades,"Here is a Weekly recap along with new trade ideas for the week of Nov 2nd, 2020. #SwingTrades #CreditSpreads

#AAPL #AMZN #ZM #NFLX #BA #TSLA #SPY #QQQ 

Click the link for the weekly newsletter &amp; video clip
https://t.co/Tpc3anNtPa https://t.co/fxQd5GGKPK",1.3229768473328394e+18
10,2020-11-01 02:33:57,NishVs,@leadlagreport Allocation would be more the problem Rn don’t you think? Over 40k in layoffs over multiple sector and fed buys #AAPL bonds... real support there.,1.322728556489773e+18
11,2020-11-01 16:47:01,AptitudeFA,"AAPL - November 1, 2020 - #AAPL chart https://t.co/U3eWlUWNzv",1.3229432356946043e+18
12,2020-10-31 19:49:57,Crissygallegos7,"Dm me with your cash tag for $5000
#TrumpMeltdown #Borat2     #SaturdayMorning #SaturdayVibes #SaturdayMotivation #Hamont #BTC     #Bitcoin     #iphone12 #Apple #AAPL #iphone #Investing #Caturday #McDonaldTrump  $AMZN $SPOT #XBTUSD",1.3226268839477617e+18
13,2020-11-01 23:46:31,elliottwaves,#Free Trial available at https://t.co/x2kmaKA6Ui #SPY #GDX #XME #XLE #IYR #AAPL #FB #AMZN #NFLX #GOOGL #MSFT #NVDA #AMD #TSLA #BABA #XOM #BAC #T #NKE #GE #SPX #NKD_F #FTSE #DAX #YM_F #USDX #EURUSD #GBPUSD #GBPJPY #USDJPY #CL_F #HG_F #XAUUSD #XAGUSD #ES_F #NQ_F #RTY_F #ASX #BTC https://t.co/fOTr9TZcxR https://t.co/JW7lyKfK06,1.323048807039443e+18
