,date,screen_name,tweet,tweet_id
0,2020-10-15 14:29:36,MSafe369,#NASDAQ1 #AAPL #FB #AMZN #MSFT #NVDA #TSLA #AMD #NFLX #QCOM #GOOG #AVGO #MU #INTC #CSCO #PYPL #GOOGL #COST #CMCSA #AMAT #JD #ADBE #BKNG #UAL https://t.co/V7php5ilvl,1.3167480631851745e+18
1,2020-10-15 07:13:58,PTrader123,"2-week free trial!
Click the link below to talk 1 on 1 to pro traders and learn how to earn cash 💰

https://t.co/aCYaIyhD6l

$AMD $AMZN $FB $T $VZ $GM $W $NFLX $STZ $VTI $DBX $PYPL $ADBE $ETSY $FVRR $GO $GDX $ALKS $ALLO #GOOG $PCG $SOXL
#stocks #trade #success #StockMarket https://t.co/6NYDBuTxta",1.316638432374911e+18
2,2020-10-15 18:42:08,MSafe369,#NASDAQ2 #AAPL #FB #AMZN #MSFT #NVDA #TSLA #AMD #NFLX #QCOM #GOOG #AVGO #MU #INTC #CSCO #PYPL #BIIB #COST #CMCSA #AMAT #JD #ADBE #BKNG #WDC https://t.co/WirEKV97KH,1.3168116148348232e+18
3,2020-10-15 03:52:49,_d_a_n_i_e_l__b,See what I've posted to #GoogleMaps Level 5 #LocalGuide https://t.co/ydDBewy3nT  #googleanalytics #seo #digitalmarketing #marketing #googleads #analytics #DanielBrummitt #DetroitArtist #Philososaur #googlepixel #goog… https://t.co/BGM6t1g7Qn via @57KazqZ6UYIq2P2,1.3165878084007363e+18
4,2020-10-15 04:49:42,PTrader123,"WHOAH 2 WEEK FREE TRIAL??
Join the link below to meet our pro stock market traders to help you make money! 💰

https://t.co/aCYaIyhD6l

$AMD $AMZN $FB $T $VZ $GM $W $NFLX $STZ $VTI $DBX $PYPL $ADBE $ETSY $FVRR $GO $GDX $ALKS $ALLO #GOOG $PCG $SOXL
#stocks #trade #success https://t.co/6V621b3jOz",1.3166021259719434e+18
5,2020-10-15 14:52:17,JasonSwitch7,"Trade #Stocks, #ETF and #Options on #Webull! Open an account and get #TWO #free #stock worth up to $1,600! https://t.co/63uLzM66r5 #tsla #nkla #shll #wkhs #aapl #msft #amzn #goog #xpev #li #nio #stocks #finance",1.3167537707897897e+18
6,2020-10-15 14:30:35,MSafe369,#NASDAQ1 #AAPL #FB #AMZN #MSFT #NVDA #TSLA #AMD #NFLX #QCOM #GOOG #AVGO #MU #INTC #CSCO #PYPL #GOOGL #COST #CMCSA #AMAT #JD #ADBE #BKNG #UAL https://t.co/3EphG5kSIo,1.3167483090637005e+18
7,2020-10-15 03:19:12,AIApparelStore,What's up with this tee! #datascience #artificialintelligence #machinelearning #ai #ml #cloudcomputing #googlecloudplatform #amazonwebservices #bigdata #bigdataanalytics #analytics #fintech #neuralnetworks #hadoop #deeplearning #APPL #GOOG https://t.co/HTnjlEBXHQ,1.3165793498905108e+18
8,2020-10-15 21:02:23,franniel333,Words #Biden and #Cocaine must be banned from #Twitter !  They are counter productive to the narrative of #GOOG #AMZN #MSFT #AAPL #FB and #TWTR!  #BLM #Antifa #China #Mao #Stalin https://t.co/E5ZvNtA0Wz,1.316846910674735e+18
9,2020-10-15 16:03:21,f37stockx,#AAPL #AMZN #FX #FB #F #RT #UAL #DAL #OXLC #PK #BA #M #MAIN #KO #LTC #GOOG #HAL #DIS #DOW #DIA #DAX #CCL #NCLH #MSFT #HEXO #HTZ #NYSE https://t.co/WlMihTJOmw,1.3167716540900598e+18
10,2020-10-15 09:04:23,TradingSurfers,"S&amp;P 500 CFD Update 📉

Charts are released earlier in our Discord group #joinus
Please give us a like if you appreciate this #Elliottwave update!

#NDX #SPX #MSFT #APPL #AMZN #GOOG #GOOGL #FB #AMD #NVDA #SMH #XLK #JPM #M #PG #UNH #INTC #VZ #MA #PFE #MRK #BAC #DIS #NFLX #TSLA https://t.co/uCSkEQjHSF",1.3166662199703962e+18
11,2020-10-15 14:24:35,AnonCassi,"@tedcruz @Google @Twitter #1A #USA 🇺🇸
#KingJack #NotOK 
#GOOG #Bad https://t.co/YDs0gY5d3c",1.3167467971262218e+18
12,2020-10-15 13:05:09,TradingSurfers,"S&amp;P 500 CFD Update 📉

Charts are released earlier in our Discord group #joinus
Please give us a like if you appreciate this #Elliottwave update!

#NDX #SPX #MSFT #APPL #AMZN #GOOG #GOOGL #FB #AMD #NVDA #SMH #XLK #JPM #M #PG #UNH #INTC #VZ #MA #PFE #MRK #BAC #DIS #NFLX #TSLA https://t.co/4UOIMYJDzt",1.3167268108943647e+18
