,date,screen_name,tweet,tweet_id
0,2020-11-30 22:35:41,eduWallStreet,"WATCH TRADING STOCKS LAST DAY OF THE MONTH https://t.co/vumT4JmuOn 

#TECHNOLGY #Tech #FAANG #BATMAN #AAPL #MSFT #AMZN #FB #GOOG #TSLA #NVDA #NFLX #BABA 

#Trading #Stocks #Equities #Equity
#SPX #SPY #ES #ES_F
#NQ #NQ_F #NDX #QQQ 
#YM_F #DJI #DIA 
#RTY_F #RUT #IWM",1.3335402289010524e+18
1,2020-11-30 14:52:06,D365Mat,"Check out my latest @LinkedIn blog:  

Sage Vs Business Central – DING DING DING ROUND 2!!!
 https://t.co/PFo1ykK3i4

@IngramCloud @IMCloud_UK 

#IngramMicroCloud #Microsoft #ERP #FinanceSoftware #AccountingSoftware #Blog #SMB #MSDyn365 #PowerPlatform #Microsoft365 #Azure #MSFT https://t.co/iIf1JqCna1",1.3334235636935475e+18
2,2020-11-30 19:23:52,pwned,"Well, this can't be good...
#MSFT #O365 https://t.co/4bak82yCbG",1.3334919584430285e+18
3,2020-11-30 12:56:03,maximcapitalist,"Сегодня в нашем портфеле #apple #msft #nio #zynga #ko #ge #cvx #frhc #csco #yndx #jpm #pfe #intc #baba Акции #tesla это весело, но дорого. Оцениваем NIO. Годовая доходность 20.2%. А сколько #сбербанк даёт годовых?",1.333394358704468e+18
4,2020-11-30 19:51:18,MSafe369,#NASDAQ1 #AAPL #FB #AMZN #MSFT #NVDA #TSLA #AMD #NFLX #QCOM #GOOG #AVGO #MU #INTC #CSCO #PYPL #GOOGL #COST #CMCSA #AMAT #JD #ADBE #BKNG #UAL https://t.co/ASgjWaaYAr,1.3334988626114028e+18
5,2020-11-30 11:02:28,alexander_low,"Interesting development's being made by Microsoft and how to measure productivity, or as some might see it, George Orwell's 1984 becoming reality.

What do you think?

#productivitytools #productivity #msft #dataanalytics #dataculture #changemanagement https://t.co/hDFCPZy3qz",1.3333657779913114e+18
6,2020-11-30 23:50:11,mjensen007,"When you can view a Microsoft Word doc in MacOS without installing anything but not in Windows, @Microsoft  has a problem.  #WTF #Windows10  #MSFT #Office365",1.3335589806904197e+18
7,2020-11-30 16:00:18,stock_simulate,"コード : MSFT
銘柄名(English) : MICROSOFT CORPORATION
銘柄名 : マイクロソフト
市場 : NASDAQ
業種 : ソフトウェア・ソフトウェアサービス
#MSFT https://t.co/bs23KyHH78",1.3334407304722145e+18
8,2020-11-30 15:39:21,MSafe369,#NASDAQ1 #AAPL #FB #AMZN #MSFT #NVDA #TSLA #AMD #NFLX #QCOM #GOOG #AVGO #MU #INTC #CSCO #PYPL #GOOGL #COST #CMCSA #AMAT #JD #ADBE #BKNG #UAL https://t.co/s5HzsWDIpd,1.3334354543440978e+18
9,2020-11-30 07:27:43,RoanPaes,#Automation #intune #msft https://t.co/94HGW2aYzm,1.3333117336585748e+18
10,2020-11-30 20:10:25,TheDataPros,Microsoft’s New Productivity Score And Workplace Tracking: Here’s The Problem https://t.co/UArCsMQ52Y #MSFT #Microsoft #News #Tech,1.3335036728447754e+18
11,2020-11-30 15:02:36,TheDataPros,"Salesforce and Slack: A vision of collaborative sales, service with a dash of Microsoft defense https://t.co/vIlvelha2m #MSFT #Microsoft #Tech #Salesforce #Slack",1.3334262077954048e+18
12,2020-11-30 19:01:42,TheDataPros,Microsoft Comes After Zoom With All-Day Free Video Calls https://t.co/UffY7GVAeh #MSFT #Microsoft #News #Tech #Zoom,1.3334863779300188e+18
13,2020-11-30 02:10:22,elliottwaves,#BlackFriday specials available!  https://t.co/simdX0SR6r #SPY #GDX #XME #XLE #IYR #AAPL #FB #AMZN #NFLX #GOOGL #MSFT #NVDA #AMD #TSLA #BABA #XOM #BAC #NKE #GE #SPX #NKD_F #FTSE #DAX #YM_F #USDX #EURUSD #GBPUSD #GBPJPY #USDJPY #CL_F #HG_F #XAUUSD #XAGUSD #ES_F #NQ_F #RTY_F #BTC https://t.co/TjIohdgYdm https://t.co/J5dE4P6MJX,1.3332318684482806e+18
14,2020-11-30 14:15:01,HPE_Alliances,"For Microsoft, there’s lots of marketing from many of their partners.  But there’s only one partner ranked #1 for their Microsoft marketing activities. Who? HPE, of course. We plan to stay #1. Check the report to see how we do.  #HPEalliances #MSFT https://t.co/6aLmVMTJDZ https://t.co/yPaCUQp9kA",1.3334142317111132e+18
15,2020-11-30 07:25:20,SoufianeGr9,"Artistic look"" - #MSFT chart https://t.co/VV8TgRjLYQ",1.3333111318389105e+18
16,2020-11-30 19:58:52,MSafe369,#NASDAQ2 #AAPL #FB #AMZN #MSFT #NVDA #TSLA #AMD #NFLX #QCOM #GOOG #AVGO #MU #INTC #CSCO #PYPL #BIIB #COST #CMCSA #AMAT #JD #ADBE #BKNG #WDC https://t.co/qkWZLjlbnA,1.3335007639186596e+18
17,2020-11-30 18:07:28,HamzeiAnalytics,BLOCK TRADE detected in #MSFT,1.333472732118446e+18
18,2020-11-30 23:14:32,eduWallStreet,"@deafdaytrader WATCH #Trading #Stocks LAST DAY OF THE MONTH https://t.co/vumT4JmuOn

#TECHNOLGY #Tech #FAANG #BATMAN #AAPL #MSFT #AMZN #FB #GOOG #TSLA #NVDA #NFLX #BABA 

#Equities #Equity
#SPX #SPY #ES #ES_F
#NQ #NQ_F #NDX #QQQ 
$DJI $DIA $YM_F 
#RTY_F #RUT #IWM",1.3335500078872125e+18
19,2020-11-30 15:43:25,MSafe369,#NASDAQ2 #AAPL #FB #AMZN #MSFT #NVDA #TSLA #AMD #NFLX #QCOM #GOOG #AVGO #MU #INTC #CSCO #PYPL #BIIB #COST #CMCSA #AMAT #JD #ADBE #BKNG #WDC https://t.co/PQv1mB4HRq,1.333436481176789e+18
20,2020-11-30 19:52:17,MSafe369,#NASDAQ1 #AAPL #FB #AMZN #MSFT #NVDA #TSLA #AMD #NFLX #QCOM #GOOG #AVGO #MU #INTC #CSCO #PYPL #GOOGL #COST #CMCSA #AMAT #JD #ADBE #BKNG #UAL https://t.co/pel1u8c3W6,1.3334991072735314e+18
21,2020-11-30 15:44:24,MSafe369,#NASDAQ2 #AAPL #FB #AMZN #MSFT #NVDA #TSLA #AMD #NFLX #QCOM #GOOG #AVGO #MU #INTC #CSCO #PYPL #BIIB #COST #CMCSA #AMAT #JD #ADBE #BKNG #WDC https://t.co/4nsRXBewT6,1.333436725851517e+18
22,2020-11-30 23:02:01,elmobarton,Microsoft unveils open-source blockchain framework https://t.co/aJCvywIP6H #MSFT #blockchain,1.3335468572099338e+18
23,2020-11-30 15:09:50,hodlbot420,$MSFT ⭐ SELL Signal 👎 1-Hour Chart @ $213.6775 #MSFT #NASDAQ,1.3334280302875812e+18
24,2020-09-03 18:26:48,LenovoLegion,"Lenovo Legion x @PlayApex
Now is your chance to rise above the rest. 
Unmatched performance, purposeful engineering, modern design.
Gear up with a machine as savage as you are.
Stylish outside.
Savage inside.",1.301587465258578e+18
25,2020-11-30 16:18:46,benlawdavis,"SharePoint Roadmap Pitstop: November 2020

#SharePoint #Office365 #Microsoft #SharePointOnline #Community #MSFT
 https://t.co/WROvcTDO9c",1.3334453762721178e+18
